residue,count,avg_steps,avg_v2,avg_log_drift,avg_odd_mult,theoretical_drift
1583,24414,141.8058,1.9619,-0.2613,1.0157,-0.2877
1585,24414,126.5249,2.0300,-0.3085,0.9896,-0.2877
1587,24414,126.5249,2.0300,-0.3085,0.9862,-0.2877
1589,24414,88.0384,2.4180,-0.5774,0.8827,-0.2877
1591,24414,141.6706,1.9619,-0.2613,1.0217,-0.2877
1593,24414,119.0414,2.0727,-0.3381,0.9505,-0.2877
1595,24414,118.6880,2.0756,-0.3401,0.9628,-0.2877
1597,24414,111.3373,2.1292,-0.3772,0.9452,-0.2877
1599,24414,126.6267,2.0294,-0.3080,1.0019,-0.2877
1601,24414,111.2698,2.1299,-0.3777,0.9305,-0.2877
1603,24414,111.2698,2.1299,-0.3777,0.9516,-0.2877
1605,24414,103.9426,2.1940,-0.4222,0.9080,-0.2877
1607,24414,126.2260,2.0317,-0.3097,0.9788,-0.2877
1609,24414,126.0528,2.0318,-0.3097,0.9789,-0.2877
1611,24414,103.9426,2.1940,-0.4222,0.9328,-0.2877
1613,24414,103.9426,2.1940,-0.4222,0.9225,-0.2877
1615,24414,126.2368,2.0315,-0.3095,0.9860,-0.2877
1617,24414,118.4575,2.0750,-0.3396,0.9572,-0.2877
1619,24414,118.4575,2.0750,-0.3396,0.9803,-0.2877
1621,24414,95.7845,2.2901,-0.4888,0.9268,-0.2877
1623,24414,111.2863,2.1282,-0.3766,0.9459,-0.2877
1625,24414,118.8284,2.0748,-0.3395,0.9686,-0.2877
1627,24414,126.1997,2.0310,-0.3091,0.9863,-0.2877
1629,24414,103.7291,2.1969,-0.4242,0.9342,-0.2877
1631,24414,118.6649,2.0756,-0.3401,0.9790,-0.2877
1633,24414,111.7338,2.1251,-0.3744,0.9582,-0.2877
1635,24414,103.7291,2.1969,-0.4242,0.9446,-0.2877
1637,24414,103.7291,2.1969,-0.4242,0.9197,-0.2877
1639,24414,134.0438,1.9934,-0.2831,1.0024,-0.2877
1641,24414,134.0952,1.9925,-0.2825,1.0025,-0.2877
1643,24414,126.5359,2.0297,-0.3083,0.9729,-0.2877
1645,24414,118.9608,2.0733,-0.3385,0.9680,-0.2877
1647,24414,126.6953,2.0289,-0.3077,0.9873,-0.2877
1649,24414,95.7845,2.2901,-0.4888,0.9053,-0.2877
1651,24414,119.1207,2.0735,-0.3386,0.9579,-0.2877
1653,24414,118.2426,2.0769,-0.3410,0.9759,-0.2877
1655,24414,111.0252,2.1302,-0.3779,0.9538,-0.2877
1657,24414,126.5897,2.0301,-0.3085,0.9795,-0.2877
1659,24414,111.0252,2.1302,-0.3779,0.9567,-0.2877
1661,24414,126.2122,2.0311,-0.3093,0.9840,-0.2877
1663,24414,149.8336,1.9339,-0.2419,1.0335,-0.2877
1665,24414,133.8082,1.9949,-0.2842,0.9955,-0.2877
1667,24414,95.7845,2.2901,-0.4888,0.9190,-0.2877
1669,24414,111.2591,2.1284,-0.3767,0.9375,-0.2877
1671,24414,118.7379,2.0760,-0.3404,0.9629,-0.2877
1673,24414,133.8995,1.9944,-0.2838,0.9958,-0.2877
1675,24414,111.2591,2.1284,-0.3767,0.9504,-0.2877
1677,24414,103.3893,2.2003,-0.4265,0.9225,-0.2877
1679,24414,126.5072,2.0296,-0.3082,0.9947,-0.2877
1681,24414,111.4790,2.1277,-0.3762,0.9364,-0.2877
1683,24414,111.4790,2.1277,-0.3762,0.9448,-0.2877
1685,24414,110.9706,2.1320,-0.3792,0.9666,-0.2877
1687,24414,103.3893,2.2003,-0.4265,0.9493,-0.2877
1689,24414,126.5935,2.0304,-0.3088,0.9792,-0.2877
1691,24414,134.2710,1.9929,-0.2828,1.0007,-0.2877
1693,24414,118.8362,2.0740,-0.3390,0.9574,-0.2877
1695,24414,141.9331,1.9611,-0.2608,1.0163,-0.2877
1697,24414,118.6914,2.0754,-0.3399,0.9596,-0.2877
1699,24414,118.6520,2.0760,-0.3403,0.9816,-0.2877
1701,24414,126.3811,2.0304,-0.3088,0.9945,-0.2877
1703,24414,126.3377,2.0307,-0.3090,0.9863,-0.2877
1705,24414,141.9057,1.9615,-0.2610,1.0202,-0.2877
1707,24414,126.5313,2.0295,-0.3081,0.9729,-0.2877
1709,24414,119.4452,2.0716,-0.3373,0.9530,-0.2877
1711,24414,126.2159,2.0315,-0.3095,0.9791,-0.2877
1713,24414,103.5133,2.1991,-0.4257,0.9096,-0.2877
1715,24414,103.5133,2.1991,-0.4257,0.9192,-0.2877
1717,24414,111.1629,2.1299,-0.3777,0.9455,-0.2877
1719,24414,126.2207,2.0310,-0.3092,0.9792,-0.2877
1721,24414,118.7552,2.0750,-0.3396,0.9517,-0.2877
1723,24414,118.7552,2.0750,-0.3396,0.9674,-0.2877
1725,24414,111.0112,2.1289,-0.3770,0.9498,-0.2877
1727,24414,134.4273,1.9924,-0.2824,1.0009,-0.2877
1729,24414,111.1629,2.1299,-0.3777,0.9265,-0.2877
1731,24414,126.1403,2.0309,-0.3091,0.9896,-0.2877
1733,24414,95.5464,2.2919,-0.4900,0.8859,-0.2877
