residue,max_run_1s,max_run_0s,hamming_weight,alternation_score,trailing_ones,trailing_zeros_3n1,mod_3,mod_9,mod_27,bit_entropy,avg_odd_mult,leading_ones,leading_zeros,trailing_zeros,longest_alternating_run,block_count,run_length_entropy,binary_compressibility,max_run_0s_dup,count,avg_steps,avg_peak,avg_v2
197,2.0000,3.0000,4.0000,5.0000,1.0000,4.0000,2.0000,8.0000,8.0000,0.9710,0.9361,0.0000,2.0000,0.0000,4.0000,6.0000,2.4464,1.6667,3.0000,48828,107.3948,33318297.7141,0.0000
199,3.0000,3.0000,5.0000,3.0000,3.0000,1.0000,1.0000,1.0000,10.0000,1.0000,0.9692,0.0000,2.0000,0.0000,2.0000,4.0000,1.9710,2.5000,3.0000,48828,122.7832,135771994.1784,0.0000
201,2.0000,2.0000,4.0000,5.0000,1.0000,2.0000,0.0000,3.0000,12.0000,0.9710,0.9596,0.0000,2.0000,0.0000,3.0000,6.0000,2.5219,1.6667,2.0000,48828,107.7098,51792811.9914,0.0000
203,2.0000,2.0000,5.0000,5.0000,2.0000,1.0000,2.0000,5.0000,14.0000,1.0000,0.9561,0.0000,2.0000,0.0000,4.0000,6.0000,2.5219,1.6667,2.0000,48828,115.1428,475644187.9467,0.0000
205,2.0000,2.0000,5.0000,5.0000,1.0000,3.0000,1.0000,7.0000,16.0000,1.0000,0.9181,0.0000,2.0000,0.0000,3.0000,6.0000,2.5219,1.6667,2.0000,48828,107.3948,33318305.3620,0.0000
207,4.0000,2.0000,6.0000,3.0000,4.0000,1.0000,0.0000,0.0000,18.0000,0.9710,0.9982,0.0000,2.0000,0.0000,2.0000,4.0000,1.9219,2.5000,2.0000,48828,130.3445,381135962.7297,0.0000
209,2.0000,3.0000,4.0000,5.0000,1.0000,2.0000,2.0000,2.0000,20.0000,0.9710,0.9680,0.0000,2.0000,0.0000,4.0000,6.0000,2.4464,1.6667,3.0000,48828,122.3240,111576807.4340,0.0000
211,2.0000,2.0000,5.0000,5.0000,2.0000,1.0000,1.0000,4.0000,22.0000,1.0000,0.9753,0.0000,2.0000,0.0000,4.0000,6.0000,2.5219,1.6667,2.0000,48828,122.3240,120076268.4043,0.0000
213,2.0000,2.0000,5.0000,7.0000,1.0000,7.0000,0.0000,6.0000,24.0000,1.0000,0.8971,0.0000,2.0000,0.0000,7.0000,8.0000,2.9219,1.2500,2.0000,48828,92.2061,25670864.6250,0.0000
215,3.0000,2.0000,6.0000,5.0000,3.0000,1.0000,2.0000,8.0000,26.0000,0.9710,0.9795,0.0000,2.0000,0.0000,5.0000,6.0000,2.4464,1.6667,2.0000,48828,122.6733,119637046.3544,0.0000
217,2.0000,2.0000,5.0000,5.0000,1.0000,2.0000,1.0000,1.0000,1.0000,1.0000,0.9640,0.0000,2.0000,0.0000,3.0000,6.0000,2.5219,1.6667,2.0000,48828,114.8755,49294961.3151,0.0000
219,2.0000,2.0000,6.0000,5.0000,2.0000,1.0000,0.0000,3.0000,3.0000,0.9710,0.9738,0.0000,2.0000,0.0000,3.0000,6.0000,2.5219,1.6667,2.0000,48828,122.6667,187304045.7982,0.0000
221,3.0000,2.0000,6.0000,5.0000,1.0000,3.0000,2.0000,5.0000,5.0000,0.9710,0.9756,0.0000,2.0000,0.0000,3.0000,6.0000,2.4464,1.6667,2.0000,48828,122.3798,114303228.2485,0.0000
223,5.0000,2.0000,7.0000,3.0000,5.0000,1.0000,1.0000,7.0000,7.0000,0.8813,0.9934,0.0000,2.0000,0.0000,3.0000,4.0000,1.7610,2.5000,2.0000,48828,130.1613,433499897.5446,0.0000
