n,T_n,v_2,multiplier,log_drift
654001,490501,2,0.75,-0.287682
655001,491251,2,0.75,-0.287682
656001,492001,2,0.75,-0.287682
657001,492751,2,0.75,-0.287682
658001,493501,2,0.75,-0.287682
659001,494251,2,0.75,-0.287682
660001,495001,2,0.75,-0.287682
661001,495751,2,0.75,-0.287682
662001,496501,2,0.75,-0.287682
663001,497251,2,0.75,-0.287682
664001,498001,2,0.75,-0.287682
665001,498751,2,0.75,-0.287682
666001,499501,2,0.75,-0.287682
667001,500251,2,0.75,-0.287682
668001,501001,2,0.75,-0.287682
669001,501751,2,0.75,-0.287682
670001,502501,2,0.75,-0.287682
671001,503251,2,0.75,-0.287682
672001,504001,2,0.75,-0.287682
673001,504751,2,0.75,-0.287682
674001,505501,2,0.75,-0.287682
675001,506251,2,0.75,-0.287682
676001,507001,2,0.75,-0.287682
677001,507751,2,0.75,-0.287682
678001,508501,2,0.75,-0.287682
679001,509251,2,0.75,-0.287682
680001,510001,2,0.75,-0.287682
681001,510751,2,0.75,-0.287682
682001,511501,2,0.75,-0.287682
683001,512251,2,0.75,-0.287682
684001,513001,2,0.75,-0.287682
685001,513751,2,0.75,-0.287682
686001,514501,2,0.75,-0.287682
687001,515251,2,0.75,-0.287682
688001,516001,2,0.75,-0.287682
689001,516751,2,0.75,-0.287682
690001,517501,2,0.75,-0.287682
691001,518251,2,0.75,-0.287682
692001,519001,2,0.75,-0.287682
693001,519751,2,0.75,-0.287682
694001,520501,2,0.75,-0.287682
695001,521251,2,0.75,-0.287682
696001,522001,2,0.75,-0.287682
697001,522751,2,0.75,-0.287682
698001,523501,2,0.75,-0.287682
699001,524251,2,0.75,-0.287682
700001,525001,2,0.75,-0.287682
701001,525751,2,0.75,-0.287682
702001,526501,2,0.75,-0.287682
703001,527251,2,0.75,-0.287682
704001,528001,2,0.75,-0.287682
705001,528751,2,0.75,-0.287682
706001,529501,2,0.75,-0.287682
707001,530251,2,0.75,-0.287682
708001,531001,2,0.75,-0.287682
709001,531751,2,0.75,-0.287682
710001,532501,2,0.75,-0.287682
711001,533251,2,0.75,-0.287682
712001,534001,2,0.75,-0.287682
713001,534751,2,0.75,-0.287682
714001,535501,2,0.75,-0.287682
715001,536251,2,0.75,-0.287682
716001,537001,2,0.75,-0.287682
717001,537751,2,0.75,-0.287682
718001,538501,2,0.75,-0.287682
719001,539251,2,0.75,-0.287682
720001,540001,2,0.75,-0.287682
721001,540751,2,0.75,-0.287682
722001,541501,2,0.75,-0.287682
723001,542251,2,0.75,-0.287682
724001,543001,2,0.75,-0.287682
725001,543751,2,0.75,-0.287682
726001,544501,2,0.75,-0.287682
727001,545251,2,0.75,-0.287682
728001,546001,2,0.75,-0.287682
729001,546751,2,0.75,-0.287682
730001,547501,2,0.75,-0.287682
731001,548251,2,0.75,-0.287682
732001,549001,2,0.75,-0.287682
733001,549751,2,0.75,-0.287682
734001,550501,2,0.75,-0.287682
735001,551251,2,0.75,-0.287682
736001,552001,2,0.75,-0.287682
737001,552751,2,0.75,-0.287682
738001,553501,2,0.75,-0.287682
739001,554251,2,0.75,-0.287682
740001,555001,2,0.75,-0.287682
741001,555751,2,0.75,-0.287682
742001,556501,2,0.75,-0.287682
743001,557251,2,0.75,-0.287682
744001,558001,2,0.75,-0.287682
