residue,max_run_1s,max_run_0s,hamming_weight,alternations,trailing_ones,tz_3n1,mod3,mod9,mod27,entropy,avg_odd_mult,count,avg_stopping_time,avg_v2,avg_peak
299,2,2,5,7,2,1,2,2,2,1,0.967764,48828,122.201,1,1.66978e+008
301,2,2,5,7,1,3,1,4,4,1,0.910287,48828,99.854,3,7.64186e+007
303,4,2,6,5,4,1,0,6,6,0.970951,0.986899,48828,130.209,1,7.07926e+008
305,2,3,4,5,1,2,2,8,8,0.970951,0.949695,48828,114.83,2,5.1257e+008
307,2,2,5,5,2,1,1,1,10,1,0.945684,48828,114.83,1,5.1257e+008
309,2,2,5,7,1,5,0,3,12,1,0.938518,48828,107.277,5,8.04366e+007
311,3,2,6,5,3,1,2,5,14,0.970951,0.993244,48828,130.208,1,3.38016e+008
313,3,2,5,5,1,2,1,7,16,1,0.986205,48828,129.952,2,7.15852e+008
315,3,2,6,5,2,1,0,0,18,0.970951,0.958743,48828,107.165,1,8.45125e+007
317,4,2,6,5,1,3,2,2,20,0.970951,0.951002,48828,114.562,3,9.9527e+007
319,6,2,7,3,6,1,1,4,22,0.881291,1.01427,48828,137.957,1,9.81552e+008
321,1,5,3,5,1,2,0,6,24,0.881291,0.929555,48828,107.277,2,8.04366e+007
323,2,4,4,5,2,1,2,8,26,0.970951,0.978836,48828,122.463,1,1.37526e+008
325,1,3,4,7,1,4,1,1,1,0.970951,0.957733,48828,114.722,4,9.40831e+007
327,3,3,5,5,3,1,0,3,3,1,1.00802,48828,137.791,1,1.01826e+009
329,1,2,4,7,1,2,2,5,5,0.970951,0.967959,48828,122.366,2,1.40571e+008
331,2,2,5,7,2,1,1,7,7,1,0.963742,48828,114.722,1,9.40832e+007
333,2,2,5,7,1,3,0,0,9,1,0.975033,48828,122.271,3,1.41763e+008
335,4,2,6,5,4,1,2,2,11,0.970951,0.992556,48828,129.722,1,3.61759e+008
337,1,3,4,7,1,2,1,4,13,0.970951,0.993041,48828,130.155,2,4.11729e+008
339,2,2,5,7,2,1,0,6,15,1,1.01427,48828,137.964,1,1.43214e+009
341,1,1,5,9,1,10,2,8,17,1,0.903151,48828,84.474,11,7.50708e+007
343,3,1,6,7,3,1,1,1,19,0.970951,0.955972,48828,114.873,1,9.83114e+007
345,2,2,5,7,1,2,0,3,21,1,0.949826,48828,114.896,2,1.01221e+008
347,2,1,6,7,2,1,2,5,23,0.970951,0.975751,48828,122.434,1,1.38355e+008
349,3,1,6,7,1,3,1,7,25,0.970951,0.929566,48828,107.454,3,8.26399e+007
351,5,1,7,5,5,1,0,0,0,0.881291,0.991799,48828,122.722,1,2.49329e+008
353,2,4,4,5,1,2,2,2,2,0.970951,0.966085,48828,122.554,2,1.67729e+008
355,2,3,5,5,2,1,1,4,4,1,0.946388,48828,107.322,1,7.93616e+007
357,2,2,5,7,1,4,0,6,6,1,0.936308,48828,107.322,4,7.93616e+007
359,3,2,6,5,3,1,2,8,8,0.970951,1.01219,48828,137.678,1,1.34762e+009
361,2,2,5,7,1,2,1,1,10,1,0.974819,48828,115.064,2,9.37314e+007
363,2,1,6,7,2,1,0,3,12,0.970951,0.968188,48828,122.577,1,1.39507e+008
365,2,1,6,7,1,3,2,5,14,0.970951,0.967771,48828,122.293,3,1.53643e+008
367,4,1,7,5,4,1,1,7,16,0.881291,0.987584,48828,122.411,1,1.68409e+008
369,3,3,5,5,1,2,0,0,18,1,0.912505,48828,99.8805,2,7.61956e+007
